w,fc,sclass,size3,labunits,mandays,farmvaluee,machinee,buildingse,landimpe,labfame,labcase,conacree,hiredlabe,intereste,opexmachinery,opexbuildings,upkeepe,limee,annuitiese,ratee,insurancee,fuellubse,esbe,phonee,rentretirefame,rentretirenonfame,miscoverheade,dairyinggrossoutput,cattlegrossoutput,sheepgrossoutput,cropsgrossoutput,cropandlivegrossoutput,othergrantsandsubs,aidairy,aicattle,aisheep,advisefee,maritalstat,hohsex,age,offjobtype,offjobinc,childunder5,childunder15,childunder19,loan,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10,sub11,sub12,sub13,sub14,sub15,sub16,sub17,sub18,sub19,sub20,sub21,sub22,sub23,sub24,sub25,sub26,sub27,sub28,sub29,sub30,sub31,sub32,sub33,sub34,sub35,sub36,sub37,sub38,sub39,sub40,sub41,sub42,sub43,sub44,sub45,sub46,sub47,sub48,sub49,sub50,sub51,sub52,sub53,sub54,sub55,sub56,sub57,sub58,sub59,sub60,sub61,sub62,sub63,sub64,sub65,sub66,sub67,sub68,sub69,sub70,sub71,sub72,sub73,sub74,sub75,sub76,sub77,sub78,sub79,DYave,DYbullave,DYcloseinv,DYmilkgal,DYmilke,DYsubs,DYconcentrates,DYpasture,DYwinfor,DYmisccosts,DYownquota,DYleasedquota,DYletquota,DYquota,DYfat,DYprotein,DYforagearea,DYfeedarea,t
92.70588,11590,132,32.77959,1,101.81,400000,3924.72,15878.67,5819.81,15049,0,0,0,0,1667,244,1808,0,0,0,250,576,294,40,0,0,1220,0,27538,0,0,27538,25248.5,0,0,0,300,1,1,72,3,,0,0,0,0,0,7300,0,0,0,6096.5,0,0,0,3135,3135,0,0,0,225,225,0,0,0,1092,2397,0,0,0,0,1542,0,0,0,5087,5087,0,0,0,11852,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91.34375,5549,316,62.28122,1.29,123.48,290000,23562.37,16430.19,8558.57,19396.49,0,1549,0,361.2,4740,168,85,0,0,0,1230,1514,86,28,0,0,1577,0,9707,3471,2978,16593,11247,0,112,0,0,1,1,68,3,,0,0,0,9157,0,0,0,0,0,0,0,0,0,807,807,0,0,0,60,60,0,0,0,0,240,0,0,0,0,242,0,0,0,1120,1120,0,3673,0,7574,0,0,0,0,66,66,1,.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.9259,23225,233,29.94678,1,76.05,400000,1265,20502.33,0,15049,0,0,0,0,2078,300,0,0,0,0,263,530,70,50,0,0,1184,0,10006,3282,0,13288,20330,0,250,0,0,3,1,48,3,,0,0,0,0,0,0,0,0,0,5635,0,0,0,0,0,0,0,0,110,110,0,0,0,153,1945,0,0,0,0,636,0,0,0,2200,2200,0,2632,0,12063,0,0,0,0,45,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58.31707,13244,212,57.87014,2,222,1430000,56102.05,39417.88,0,15049,0,0,20000,0,6073,356,1134,0,0,0,875,1783,274,302,0,0,3989,0,31104,0,5863,36967,18624,0,388,0,226,3,1,61,3,,0,0,0,0,0,0,3270,0,0,8296,0,0,0,0,0,0,0,0,0,0,0,0,0,1890,1890,0,0,0,0,207,0,0,0,0,0,0,831,0,9497,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85.63333,14119,115,47.44947,1.5,493.16,440000,41817.3,113219.2,0,22573.5,0,8773,0,298.37,3975,900,1657,317,0,0,1387,2679,823,641,0,3829,2380,58417.42,37498,0,13863,109778.4,18068,1118,0,0,188,1,1,35,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1822,1822,0,0,0,27,3635,0,0,0,0,1586,0,0,0,0,0,0,0,0,18068,0,0,0,0,0,0,1,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.49,.67,33250,207061,55226.42,4281,8172,3007.19,2844.68,9128,147590,26981,0,184047,30028.7,33354.3,14.61727,23.43134,0
125.8571,23353,114,27.11398,.17,85.5,300000,26012.72,0,0,2508.17,0,2400,0,1487.52,1634,0,0,0,0,0,800,600,0,480,0,0,1620,0,0,0,24200,24200,12493,0,0,0,420,3,1,31,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12493,0,0,0,0,0,0,.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.57377,20395,425,47.55064,1.17,553.08,700000,65253.69,31164.79,7937.92,15049,1500,2900,510,0,6456,0,530,0,0,0,1800,2612,1200,220,0,0,1515,91161,15860,0,0,107021,10290,800,349,0,0,3,1,63,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,210,0,0,0,0,0,0,0,0,0,0,0,3807,0,6483,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.56,1,61800,302304,81045,6153,10360,1037.07,6379.89,9645,244501,28391,0,302892,44199.2,52246.3,28.72868,39.93849,0
39.176,16577,131,83.77006,2.56,672.1,1022000,108451.7,110141.5,5816.36,38458.56,0,8043,0,3677.86,16308,972,2200,0,0,0,2770,7474,2741,660,0,0,4637,97837.91,76077,0,0,173914.9,37153,792,0,0,226,1,1,53,3,,0,0,0,57464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,750,0,0,0,2881,10701,0,0,0,0,818,0,0,0,0,0,0,3428,0,33725,0,0,0,0,0,0,2,.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.47,1.33,66675,360609,93007.91,8505,12034,4088.92,6519.26,20499.91016,320386,28159,0,356387,51113.4,57415.3,38.05265,51.16044,0
58.31707,16737,501,62.72637,1.01,83.18,320000,6534.82,32292.65,9996.93,15049,0,0,100,0,1095,190,1039,0,0,0,660,434,400,315,0,0,1530,0,12231,21,0,12252,24939,0,0,0,0,1,2,44,1,,0,0,2,0,0,0,0,0,0,8410,24.8,0,0,2224,2224,0,0,0,300,300,0,0,0,0,0,0,0,0,0,350,0,0,0,2144,2144,0,4127,0,12402,0,0,0,0,132,132,.5,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.70588,15360,212,29.13741,.63,154.21,510000,5891.06,28487.09,9787.2,6019.6,0,0,3210,1003,2505,737,424,540,0,0,1413,914,232,389,0,0,2475,0,19489,1941,0,21430,18986.1,0,0,0,507,3,1,45,1,,0,0,0,10261,0,0,0,0,0,6021,0,0,0,2242,2242,0,0,0,870,870,0,0,0,0,240,0,0,0,0,1586,0,0,0,1560,1560,0,1856,0,11109.1,0,0,0,0,29,29,.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
